,movie_id,title,bechdel_score_easy,bechdel_score_medium,bechdel_score_hard,bechdel_score,flesch_diff_m_f,prop_fem,hedges_per_line_m,hedges_per_line_f,boosters_per_line_m,boosters_per_line_f,cossim,jsd_m_f,diff_plot,diff_imperatives_normed,male_imp_rate,female_imp_rate,ratio_diff,hedge_diff,year,imdb_score
0,m0,10 things i hate about you,1,1,1,3,2.73710005288136,0.4580838323353293,0.1243093922651933,0.1797385620915032,0.0966850828729281,0.1862745098039215,0.9634924530982972,0.0230714539308942,0.0025836825,0.0396490087747806,0.0690607734806629,0.0294117647058823,0.0492812334074059,-5.358830358830359,1999,7.4
1,m102,intolerable cruelty,1,1,1,3,-3.129383376207869,0.4534534534534534,0.1868131868131868,0.2086092715231788,0.1923076923076923,0.2549668874172185,0.9541786909103394,0.0264385810210528,0.004429877,0.0026744778400407,0.0192307692307692,0.0165562913907284,-0.0159937888198757,-0.8151820697082819,2003,6.3
2,m103,it happened one night,1,1,1,3,3.756651572747174,0.5133418043202033,0.2193211488250653,0.2376237623762376,0.1592689295039164,0.1806930693069307,0.9610930681228638,0.0416574716643176,-0.00068587065,0.0330959336142491,0.0652741514360313,0.0321782178217821,-0.0818963271685334,-4.45064227378726,1934,8.1
3,m104,jfk,1,1,1,3,2.249669455514308,0.1613876319758672,0.3543165467625899,0.4579439252336448,0.276978417266187,0.4018691588785046,0.9257459044456482,0.0441509668268659,0.049718857,-0.0104047603039064,0.026978417266187,0.0373831775700934,0.0659879336349924,0.1757586271496762,1991,8.0
4,m105,jackie brown,1,1,1,3,1.6803457732298313,0.3609958506224066,0.1766233766233766,0.2022988505747126,0.1077922077922077,0.1057471264367816,0.9685885906219482,0.0200875660599676,0.008964062,-0.0041200179131213,0.0441558441558441,0.0482758620689655,0.0327243531052356,-2.853682150750238,1997,7.5
5,m107,jason x,1,1,1,3,9.213542615421147,0.6726190476190477,0.0909090909090909,0.0707964601769911,0.1272727272727272,0.0619469026548672,0.8974564075469971,0.1467683484454054,-0.034181714,-0.0059533386967015,0.109090909090909,0.1150442477876106,-0.0545977011494253,-0.5081669691470054,2001,4.5
6,m108,jaws,1,1,1,3,-2.7257502948194627,0.1051282051282051,0.1719197707736389,0.1707317073170731,0.157593123209169,0.1219512195121951,0.8721821308135986,0.1112368280136076,0.10164642,0.0529736529456985,0.0773638968481375,0.024390243902439,0.0814814814814814,-2.1098927037010053,1975,8.1
7,m11,air force one,1,0,0,1,-5.057506484787268,0.3107569721115538,0.1098265895953757,0.1025641025641025,0.1618497109826589,0.0897435897435897,0.8662695288658142,0.0860086630778164,0.05081916,0.0007410701052319,0.0520231213872832,0.0512820512820512,0.0992822966507177,-0.3723517500985238,1997,6.5
8,m113,krull,1,0,0,1,-1.4843912386877065,0.1750599520383693,0.1104651162790697,0.1780821917808219,0.3023255813953488,0.2328767123287671,0.9301984310150146,0.0846459225940017,0.044407845,0.0377906976744186,0.0377906976744186,0.0,0.1391599238457876,-8.795727751156488,1983,6.1
9,m116,leaving las vegas,1,1,0,2,3.5248976644168977,0.4862745098039215,0.2442748091603053,0.2258064516129032,0.183206106870229,0.1935483870967742,0.9419301152229308,0.0896543748709189,0.00086426735,-0.0165599606008372,0.0076335877862595,0.0241935483870967,-0.0181731229076996,7.161668834063789,1995,7.5
10,m117,legally blonde,1,1,1,3,-0.8933049956061438,0.6852589641434262,0.2468354430379747,0.2093023255813953,0.1455696202531645,0.1686046511627907,0.9423736333847046,0.0602526301929545,-0.020294905,-0.0153812187224021,0.0253164556962025,0.0406976744186046,-0.1027352653858677,8.576606473244023,2001,6.5
11,m118,legend,1,1,1,3,-6.87976980210486,0.2076271186440678,0.1229946524064171,0.1564625850340136,0.2121212121212121,0.1700680272108843,0.9332513213157654,0.0690624681943345,0.037569404,0.0233547964640401,0.0641711229946524,0.0408163265306122,-0.0113258355773799,-5.772913477568373,1985,6.3
12,m119,life as a house,1,1,1,3,-0.5795185736657231,0.3129675810473815,0.190562613430127,0.2031872509960159,0.1143375680580762,0.1075697211155378,0.9680875539779664,0.0354195657647624,0.011543691,-0.0024800977577891,0.0254083484573502,0.0278884462151394,-0.043102843102843,-3.278412178952479,2001,7.4
13,m121,little nicky,1,0,0,1,-0.0105307562985785,0.189873417721519,0.14375,0.1866666666666666,0.175,0.0933333333333333,0.950598955154419,0.0844812358878145,0.030359626,-0.0158333333333333,0.0375,0.0533333333333333,0.0738157512351059,-5.9204621767745405,2000,5.3
14,m123,lost highway,1,0,0,1,-5.769034602625268,0.3150684931506849,0.1,0.1376811594202898,0.0866666666666666,0.108695652173913,0.9536187052726746,0.0816750260261082,0.01716888,0.0327536231884058,0.04,0.0072463768115942,-0.1637877579945078,-1.9918559583967053,1997,7.6
15,m124,lost horizon,1,1,0,2,-8.456711637640154,0.1054263565891472,0.3102253032928942,0.3235294117647059,0.3015597920277296,0.4852941176470588,0.9209518432617188,0.092246893088562,0.061418295,0.0338209807319808,0.048526863084922,0.0147058823529411,0.0992999740731138,8.075163981359811,1937,7.6
16,m126,minority report,1,0,0,1,-2.081242757763832,0.1606606606606606,0.1735241502683363,0.308411214953271,0.146690518783542,0.1401869158878504,0.9433161020278932,0.0507612899260122,0.038241386,-0.0006185946198986,0.0554561717352415,0.0560747663551401,0.0217196596506941,-10.166667396192167,2002,7.6
17,m13,airplane!,1,1,1,3,-2.207684059804464,0.5631578947368421,0.3132530120481928,0.1121495327102803,0.253012048192771,0.2429906542056074,0.8992806673049927,0.0869113908084425,-0.014493108,0.0629433622339826,0.072289156626506,0.0093457943925233,-0.0490054249547921,16.441164624269863,1980,7.7
18,m130,marty,1,1,1,3,3.282186266300116,0.4553376906318083,0.328,0.1531100478468899,0.184,0.1913875598086124,0.9383522868156432,0.0619382236536976,0.005845964,0.0104306220095693,0.02,0.0095693779904306,0.1290279329608938,8.85768887371845,1955,7.6
19,m132,meet john doe,1,1,1,3,5.319855392587812,0.3966346153846153,0.1832669322709163,0.206060606060606,0.1195219123505976,0.1272727272727272,0.9564528465270996,0.0489870751002471,0.008860469,0.0233973198116624,0.0597609561752988,0.0363636363636363,-0.0221718652803697,-2.632763866711173,1941,7.6
20,m134,metropolis,1,0,0,1,-6.011830243434005,0.2694300518134715,0.0921985815602836,0.1153846153846153,0.0780141843971631,0.0576923076923076,0.8836145401000977,0.1064695238679169,0.051965952,-0.0151391162029459,0.0425531914893617,0.0576923076923076,-0.1235119047619047,-8.901266928789866,1927,8.3
21,m137,monkeybone,1,1,1,3,-4.081731242660851,0.309623430962343,0.1636363636363636,0.2297297297297297,0.2,0.2027027027027027,0.8990410566329956,0.0600330322601055,0.04151523,0.0275184275184275,0.0545454545454545,0.027027027027027,0.131503920171062,-9.567005293431045,2001,4.8
22,m139,mr. smith goes to washington,1,1,0,2,-3.954675180703262,0.3139013452914798,0.238562091503268,0.2107142857142857,0.1862745098039215,0.1821428571428571,0.9585818648338318,0.0384472440797505,0.016181111,-0.0384453781512605,0.0294117647058823,0.0678571428571428,-0.1368086040386303,0.0912654193841113,1939,8.1
23,m14,alien nation,1,0,0,1,-7.784822587159567,0.0634328358208955,0.247011952191235,0.4117647058823529,0.2430278884462151,0.2352941176470588,0.7650354504585266,0.192555592838018,0.20397699,0.0168736817436137,0.0756972111553784,0.0588235294117647,-0.1093969144460027,-9.18337971403896,1988,6.3
24,m140,mr. deeds goes to town,1,1,1,3,-0.458748712070431,0.2544459644322845,0.1981651376146789,0.2258064516129032,0.1651376146788991,0.1451612903225806,0.9363513588905334,0.0500214227855594,0.031086683,0.0353753576008681,0.0568807339449541,0.021505376344086,0.0347599352634417,-7.60262986322034,1936,7.8
25,m143,mystery men,1,0,0,1,6.578939422374063,0.2326283987915408,0.1062992125984252,0.1298701298701298,0.1535433070866141,0.1428571428571428,0.918893575668335,0.0760872640813909,0.04150039,0.0460681051232232,0.0590551181102362,0.0129870129870129,-0.0459330143540669,-6.73019992189567,1999,6.1
26,m145,next friday,1,1,0,2,5.945246269671728,0.0717821782178217,0.1013333333333333,0.0689655172413793,0.1146666666666666,0.0689655172413793,0.8940577507019043,0.1333160518725969,0.08930451,0.0613333333333333,0.0613333333333333,0.0,0.2938071780436313,3.598740440845704,2000,6.1
27,m146,nick of time,1,1,1,3,-0.5216202953016875,0.3175487465181058,0.1469387755102041,0.1228070175438596,0.1877551020408163,0.1140350877192982,0.9533969163894652,0.056632318395793,0.017505944,0.0459362692445399,0.0897959183673469,0.043859649122807,0.2667131404670617,-0.4598775299412239,1995,6.3
28,m148,a nightmare on elm street,1,1,1,3,-2.7804045904284607,0.6779661016949152,0.1578947368421052,0.175,0.0526315789473684,0.05625,0.9163798093795776,0.0905103203193992,-0.030335903,0.0088815789473684,0.0526315789473684,0.04375,-0.1162790697674418,-4.515355994198146,1984,7.4
29,m149,ninotchka,1,1,1,3,-0.8597795127113272,0.4620829120323559,0.2368421052631578,0.2385120350109409,0.2368421052631578,0.3763676148796498,0.9728018045425416,0.0317101333613635,0.0024280548,-0.0065069676379131,0.0263157894736842,0.0328227571115973,-0.0605883498928502,1.6861596710526072,1939,7.8
30,m15,aliens,1,1,1,3,-14.296726209029757,0.4909638554216867,0.1952662721893491,0.1656441717791411,0.1597633136094674,0.1165644171779141,0.9298500418663024,0.0425018990424729,0.00046145916,0.0517297709369441,0.0946745562130177,0.0429447852760736,0.0048487647194643,0.1929907010069413,1986,8.4
31,m151,no country for old men,1,1,1,3,6.584194432891763,0.2229965156794425,0.1995515695067264,0.078125,0.1143497757847533,0.09375,0.9505506753921508,0.0590841453166235,0.027182281,0.0146090246636771,0.0224215246636771,0.0078125,0.045984154109057,13.63172899377067,2007,8.2
