movie_id,title,bechdel_score_easy,bechdel_score_medium,bechdel_score_hard,bechdel_score,flesch_diff_m_f,prop_fem,hedges_per_line_m,hedges_per_line_f,boosters_per_line_m,boosters_per_line_f,cossim,jsd_m_f,diff_plot,diff_imperatives_normed,male_imp_rate,female_imp_rate,ratio_diff,hedge_diff
m0,10 things i hate about you,1,1,1,3,2.7371000528813596,0.4580838323353293,0.1243093922651933,0.1797385620915032,0.0966850828729281,0.1862745098039215,0.9634924530982972,0.0230714539308942,0.0025836825,0.0396490087747806,0.06906077348066299,0.029411764705882353,0.04928123340740598,-5.3588303588303585
m102,intolerable cruelty,1,1,1,3,-3.129383376207869,0.4534534534534534,0.1868131868131868,0.2086092715231788,0.1923076923076923,0.2549668874172185,0.9541786909103394,0.0264385810210528,0.004429877,0.0026744778400407,0.019230769230769232,0.016556291390728478,-0.015993788819875787,-0.8151820697082819
m103,it happened one night,1,1,1,3,3.756651572747174,0.5133418043202033,0.2193211488250653,0.2376237623762376,0.1592689295039164,0.1806930693069307,0.9610930681228638,0.0416574716643176,-0.00068587065,0.0330959336142491,0.06527415143603134,0.03217821782178218,-0.08189632716853346,-4.45064227378726
m104,jfk,1,1,1,3,2.249669455514308,0.1613876319758672,0.3543165467625899,0.4579439252336448,0.276978417266187,0.4018691588785046,0.9257459044456482,0.0441509668268659,0.049718857,-0.0104047603039064,0.02697841726618705,0.037383177570093455,0.06598793363499245,0.17575862714967627
m105,jackie brown,1,1,1,3,1.6803457732298313,0.3609958506224066,0.1766233766233766,0.2022988505747126,0.1077922077922077,0.1057471264367816,0.9685885906219482,0.0200875660599676,0.008964062,-0.0041200179131213,0.04415584415584416,0.04827586206896552,0.03272435310523569,-2.853682150750238
m107,jason x,1,1,1,3,9.213542615421147,0.6726190476190477,0.0909090909090909,0.0707964601769911,0.1272727272727272,0.0619469026548672,0.8974564075469971,0.1467683484454054,-0.034181714,-0.0059533386967015,0.10909090909090909,0.11504424778761062,-0.054597701149425304,-0.5081669691470054
m108,jaws,1,1,1,3,-2.7257502948194627,0.1051282051282051,0.1719197707736389,0.1707317073170731,0.157593123209169,0.1219512195121951,0.8721821308135986,0.1112368280136076,0.10164642,0.0529736529456985,0.07736389684813753,0.024390243902439025,0.08148148148148149,-2.1098927037010053
m11,air force one,1,0,0,1,-5.057506484787268,0.3107569721115538,0.1098265895953757,0.1025641025641025,0.1618497109826589,0.0897435897435897,0.8662695288658142,0.0860086630778164,0.05081916,0.0007410701052319,0.05202312138728324,0.05128205128205128,0.09928229665071775,-0.37235175009852384
m113,krull,1,0,0,1,-1.4843912386877065,0.1750599520383693,0.1104651162790697,0.1780821917808219,0.3023255813953488,0.2328767123287671,0.9301984310150146,0.0846459225940017,0.044407845,0.0377906976744186,0.0377906976744186,0.0,0.13915992384578768,-8.795727751156488
m116,leaving las vegas,1,1,0,2,3.5248976644168977,0.4862745098039215,0.2442748091603053,0.2258064516129032,0.183206106870229,0.1935483870967742,0.9419301152229308,0.0896543748709189,0.00086426735,-0.0165599606008372,0.007633587786259542,0.024193548387096774,-0.01817312290769968,7.161668834063789
m117,legally blonde,1,1,1,3,-0.8933049956061438,0.6852589641434262,0.2468354430379747,0.2093023255813953,0.1455696202531645,0.1686046511627907,0.9423736333847046,0.0602526301929545,-0.020294905,-0.0153812187224021,0.02531645569620253,0.040697674418604654,-0.10273526538586775,8.576606473244023
m118,legend,1,1,1,3,-6.87976980210486,0.2076271186440678,0.1229946524064171,0.1564625850340136,0.2121212121212121,0.1700680272108843,0.9332513213157654,0.0690624681943345,0.037569404,0.0233547964640401,0.06417112299465241,0.04081632653061224,-0.011325835577379983,-5.772913477568373
m119,life as a house,1,1,1,3,-0.5795185736657231,0.3129675810473815,0.190562613430127,0.2031872509960159,0.1143375680580762,0.1075697211155378,0.9680875539779664,0.0354195657647624,0.011543691,-0.0024800977577891,0.025408348457350273,0.027888446215139442,-0.04310284310284307,-3.278412178952479
m121,little nicky,1,0,0,1,-0.0105307562985785,0.189873417721519,0.14375,0.1866666666666666,0.175,0.0933333333333333,0.950598955154419,0.0844812358878145,0.030359626,-0.0158333333333333,0.0375,0.05333333333333334,0.07381575123510598,-5.9204621767745405
m123,lost highway,1,0,0,1,-5.769034602625268,0.3150684931506849,0.1,0.1376811594202898,0.0866666666666666,0.108695652173913,0.9536187052726746,0.0816750260261082,0.01716888,0.0327536231884058,0.04,0.007246376811594203,-0.16378775799450784,-1.9918559583967053
m124,lost horizon,1,1,0,2,-8.456711637640154,0.1054263565891472,0.3102253032928942,0.3235294117647059,0.3015597920277296,0.4852941176470588,0.9209518432617188,0.092246893088562,0.061418295,0.0338209807319808,0.04852686308492201,0.014705882352941176,0.09929997407311386,8.075163981359811
m126,minority report,1,0,0,1,-2.0812427577638317,0.1606606606606606,0.1735241502683363,0.308411214953271,0.146690518783542,0.1401869158878504,0.9433161020278932,0.0507612899260122,0.038241386,-0.0006185946198986,0.055456171735241505,0.056074766355140186,0.021719659650694112,-10.166667396192167
m13,airplane!,1,1,1,3,-2.207684059804464,0.5631578947368421,0.3132530120481928,0.1121495327102803,0.253012048192771,0.2429906542056074,0.8992806673049927,0.0869113908084425,-0.014493108,0.0629433622339826,0.07228915662650602,0.009345794392523364,-0.0490054249547921,16.441164624269863
m130,marty,1,1,1,3,3.2821862663001156,0.4553376906318083,0.328,0.1531100478468899,0.184,0.1913875598086124,0.9383522868156432,0.0619382236536976,0.005845964,0.0104306220095693,0.02,0.009569377990430622,0.12902793296089388,8.85768887371845
m132,meet john doe,1,1,1,3,5.319855392587812,0.3966346153846153,0.1832669322709163,0.206060606060606,0.1195219123505976,0.1272727272727272,0.9564528465270996,0.0489870751002471,0.008860469,0.0233973198116624,0.05976095617529881,0.03636363636363636,-0.02217186528036974,-2.632763866711173
m134,metropolis,1,0,0,1,-6.011830243434005,0.2694300518134715,0.0921985815602836,0.1153846153846153,0.0780141843971631,0.0576923076923076,0.8836145401000977,0.1064695238679169,0.051965952,-0.0151391162029459,0.0425531914893617,0.057692307692307696,-0.12351190476190477,-8.901266928789866
m137,monkeybone,1,1,1,3,-4.081731242660851,0.309623430962343,0.1636363636363636,0.2297297297297297,0.2,0.2027027027027027,0.8990410566329956,0.0600330322601055,0.04151523,0.0275184275184275,0.05454545454545454,0.02702702702702703,0.13150392017106205,-9.567005293431045
m139,mr. smith goes to washington,1,1,0,2,-3.954675180703262,0.3139013452914798,0.238562091503268,0.2107142857142857,0.1862745098039215,0.1821428571428571,0.9585818648338318,0.0384472440797505,0.016181111,-0.0384453781512605,0.029411764705882353,0.06785714285714285,-0.13680860403863038,0.09126541938411137
m14,alien nation,1,0,0,1,-7.784822587159567,0.0634328358208955,0.247011952191235,0.4117647058823529,0.2430278884462151,0.2352941176470588,0.7650354504585266,0.192555592838018,0.20397699,0.0168736817436137,0.07569721115537849,0.058823529411764705,-0.10939691444600275,-9.18337971403896
m140,mr. deeds goes to town,1,1,1,3,-0.458748712070431,0.2544459644322845,0.1981651376146789,0.2258064516129032,0.1651376146788991,0.1451612903225806,0.9363513588905334,0.0500214227855594,0.031086683,0.0353753576008681,0.05688073394495413,0.021505376344086023,0.03475993526344179,-7.60262986322034
m143,mystery men,1,0,0,1,6.578939422374063,0.2326283987915408,0.1062992125984252,0.1298701298701298,0.1535433070866141,0.1428571428571428,0.918893575668335,0.0760872640813909,0.04150039,0.0460681051232232,0.05905511811023622,0.012987012987012988,-0.04593301435406694,-6.73019992189567
m145,next friday,1,1,0,2,5.945246269671728,0.0717821782178217,0.1013333333333333,0.0689655172413793,0.1146666666666666,0.0689655172413793,0.8940577507019043,0.1333160518725969,0.08930451,0.0613333333333333,0.06133333333333333,0.0,0.2938071780436313,3.598740440845704
m146,nick of time,1,1,1,3,-0.5216202953016875,0.3175487465181058,0.1469387755102041,0.1228070175438596,0.1877551020408163,0.1140350877192982,0.9533969163894652,0.056632318395793,0.017505944,0.0459362692445399,0.08979591836734693,0.043859649122807015,0.26671314046706174,-0.4598775299412239
m148,a nightmare on elm street,1,1,1,3,-2.7804045904284607,0.6779661016949152,0.1578947368421052,0.175,0.0526315789473684,0.05625,0.9163798093795776,0.0905103203193992,-0.030335903,0.0088815789473684,0.05263157894736842,0.04375,-0.11627906976744184,-4.515355994198146
m149,ninotchka,1,1,1,3,-0.8597795127113272,0.4620829120323559,0.2368421052631578,0.2385120350109409,0.2368421052631578,0.3763676148796498,0.9728018045425416,0.0317101333613635,0.0024280548,-0.0065069676379131,0.02631578947368421,0.03282275711159737,-0.060588349892850224,1.6861596710526072
m15,aliens,1,1,1,3,-14.296726209029757,0.4909638554216867,0.1952662721893491,0.1656441717791411,0.1597633136094674,0.1165644171779141,0.9298500418663024,0.0425018990424729,0.00046145916,0.0517297709369441,0.09467455621301775,0.04294478527607362,0.004848764719464382,0.19299070100694138
m151,no country for old men,1,1,1,3,6.584194432891763,0.2229965156794425,0.1995515695067264,0.078125,0.1143497757847533,0.09375,0.9505506753921508,0.0590841453166235,0.027182281,0.0146090246636771,0.02242152466367713,0.0078125,0.045984154109057096,13.63172899377067
m153,"o brother, where art thou?",0,0,0,0,-5.716869781682533,0.1153846153846153,0.1565217391304348,0.1666666666666666,0.1782608695652174,0.1,0.8250423669815063,0.1618755020765858,0.13289183,0.0347826086956521,0.034782608695652174,0.0,0.07407407407407407,-2.0370083491908613
